rating_id,session_id,rating
1,1,1
2,2,3
3,3,5
4,4,2
5,5,2
6,6,4
7,7,4
8,8,5
9,9,2
10,10,5
11,11,1
12,12,5
13,13,4
14,14,2
15,15,4
16,16,2
17,17,2
18,17,1
19,17,4
20,18,5
21,19,4
22,20,2
23,21,4
24,22,2
25,23,2
26,24,1
27,25,2
28,26,2
29,27,2
30,28,1
31,29,1
32,30,5
33,31,5
34,32,3
35,33,2
36,34,5
37,35,2
38,36,1
39,37,3
40,37,3
41,38,2
42,39,1
43,40,2
44,41,4
45,42,2
46,43,5
47,44,2
48,45,2
49,46,4
50,47,5
51,48,1
52,49,3
53,50,2
54,51,1
55,52,4
56,53,4
57,54,1
58,55,1
59,56,2
60,57,1
61,58,2
62,59,3
63,60,1
64,61,4
65,62,2
66,63,2
67,64,2
68,65,5
69,66,5
70,67,3
71,68,1
72,69,5
73,70,3
74,71,3
75,72,1
76,73,4
77,74,1
78,75,3
79,76,5
80,77,2
81,78,4
82,79,5
83,80,3
84,81,1
85,82,3
86,83,1
87,84,5
88,85,3
89,86,1
90,87,5
91,88,5
92,89,5
93,90,1
94,91,1
95,92,4
96,92,1
97,93,1
98,93,5
99,94,3
100,94,1
101,95,4
102,96,1
103,96,2
104,97,3
105,97,2
106,98,3
107,98,2
108,99,3
109,100,4
110,101,5
111,102,2
112,102,5
113,102,5
114,102,5
115,102,3
116,102,4
117,102,2
118,102,2
119,102,4
120,102,3
121,103,1
122,104,2
123,104,4
124,104,4
125,104,1
126,105,5
127,105,5
128,105,5
129,105,2
130,105,4
131,105,3
132,105,3
133,105,4
134,105,4
135,105,5
136,105,1
137,105,2
138,105,4
139,105,2
140,106,1
141,106,5
142,106,3
143,106,1
144,106,4
145,106,4
146,106,5
147,106,4
148,106,3
149,106,5
150,106,5
151,106,5
152,106,5
153,106,3
154,107,3
155,108,3
156,109,4
157,110,4
158,111,2
159,112,5
160,113,1
161,114,4
162,115,5
163,116,2
164,117,3
165,118,2
166,119,1
167,120,3
168,121,1
169,122,5
170,123,3
171,123,3
172,124,5
173,125,2
174,126,1
175,127,1
176,127,1
177,128,5
178,128,3
179,129,2
180,129,4
181,130,2
182,131,5
183,132,2
184,133,2
185,134,2
186,135,3
187,135,3
188,135,5
189,135,1
190,136,1
191,136,4
192,136,1
193,136,4
194,137,4
195,137,2
196,137,1
197,137,5
198,138,2
199,138,1
200,138,2
201,138,4
202,139,2
203,139,2
204,139,1
205,139,2
206,140,1
207,140,4
208,140,1
209,140,1
210,140,1
211,140,5
212,140,2
213,140,4
214,140,5
215,140,5
216,141,5
217,141,5
218,141,4
219,141,1
220,141,2
221,141,2
222,141,3
223,141,5
224,141,4
225,141,3
226,142,3
227,142,1
228,142,5
229,142,2
230,142,3
231,142,3
232,142,1
233,142,2
234,142,1
235,142,3
236,143,4
237,143,5
238,143,4
239,143,3
240,143,5
241,143,2
242,143,1
243,143,2
244,143,4
245,143,1
246,144,3
247,145,3
248,146,2
249,147,1
250,148,5
251,149,5
252,150,3
253,151,1
254,152,1
255,153,5
256,154,2
257,155,3
258,156,3
259,157,4
260,158,2
261,159,2
262,160,1
263,161,2
264,161,1
265,161,3
266,162,2
267,162,4
268,163,1
269,163,2
270,164,4
271,164,2
272,165,3
273,166,4
274,167,3
275,168,5
276,169,2
277,170,2
278,171,3
279,172,2
280,173,2
281,174,4
282,174,1
283,174,5
284,174,5
285,174,2
286,175,2
287,176,3
288,177,5
289,178,2
290,178,5
291,178,5
292,178,2
293,178,5
294,179,2
295,180,5
296,181,1
297,181,4
298,181,1
299,181,1
300,181,2
301,181,4
302,182,1
303,183,2
304,183,4
305,184,2
306,184,4
307,184,4
308,184,5
309,185,1
310,186,5
311,187,1
312,187,3
313,187,4
314,187,3
315,188,1
316,189,4
317,190,1
318,190,4
319,190,4
320,190,4
321,191,3
322,192,5
323,193,2
324,193,3
325,193,3
326,193,3
327,194,4
328,195,5
329,196,3
330,197,5
331,198,5
332,199,3
333,199,1
334,199,4
335,199,3
336,199,5
337,199,4
338,199,4
339,200,1
340,200,2
341,201,3
342,201,2
343,202,1
344,202,5
345,203,4
346,203,3
347,204,5
348,204,1
349,205,4
350,205,4
351,206,4
352,207,5
353,208,4
354,209,2
355,209,4
356,209,4
357,209,5
358,209,5
359,209,2
360,210,4
361,210,5
362,210,4
363,210,5
364,210,5
365,210,4
366,211,1
367,211,4
368,211,5
369,211,3
370,211,1
371,211,1
372,212,2
373,212,4
374,212,4
375,212,5
376,212,3
377,213,5
378,213,3
379,213,5
380,213,4
381,213,5
382,214,3
383,214,4
384,214,2
385,214,2
386,214,1
387,215,5
388,215,2
389,215,3
390,215,4
391,215,3
392,215,1
393,216,5
394,216,1
